XMN	ZSAM	Xiamen Gaoqi International Airport	large_airport	SRID=4326;POINT(118.1279983521 24.5440006256)	Asia	China	CN	Fujian Province	CN-35	Xiamen	http://www.xiagc.com.cn/enweb/	https://en.wikipedia.org/wiki/Xiamen_Gaoqi_International_Airport
HGH	ZSHC	Hangzhou Xiaoshan International Airport	large_airport	SRID=4326;POINT(120.428865 30.23609)	Asia	China	CN	Zhejiang Province	CN-33	Hangzhou	http://www.hzairport.com/	https://en.wikipedia.org/wiki/Hangzhou_Xiaoshan_International_Airport
KWL	ZGKL	Guilin Liangjiang International Airport	large_airport	SRID=4326;POINT(110.039553 25.219828)	Asia	China	CN	Guangxi Autonomous Region	CN-45	Guilin (Lingui)		https://en.wikipedia.org/wiki/Guilin_Liangjiang_International_Airport
WUH	ZHHH	Wuhan Tianhe International Airport	large_airport	SRID=4326;POINT(114.213723 30.774798)	Asia	China	CN	Hubei Province	CN-42	Wuhan (Huangpi)	http://www.whairport.com/	https://en.wikipedia.org/wiki/Wuhan_Tianhe_International_Airport
DLC	ZYTL	Dalian Zhoushuizi International Airport	large_airport	SRID=4326;POINT(121.538477 38.965719)	Asia	China	CN	Liaoning Province	CN-21	Dalian (Ganjingzi)		https://en.wikipedia.org/wiki/Dalian_Zhoushuizi_International_Airport
NKG	ZSNJ	Nanjing Lukou International Airport	large_airport	SRID=4326;POINT(118.865949 31.735032)	Asia	China	CN	Jiangsu Province	CN-32	Nanjing		https://en.wikipedia.org/wiki/Nanjing_Lukou_International_Airport
PKX	ZBAD	Beijing Daxing International Airport	large_airport	SRID=4326;POINT(116.41092 39.509945)	Asia	China	CN	Beijing Municipality	CN-11	Beijing		https://en.wikipedia.org/wiki/Beijing_Daxing_International_Airport
HRB	ZYHB	Harbin Taiping International Airport	large_airport	SRID=4326;POINT(126.25 45.623402)	Asia	China	CN	Heilongjiang Province	CN-23	Harbin		https://en.wikipedia.org/wiki/Harbin_Taiping_International_Airport
TSN	ZBTJ	Tianjin Binhai International Airport	large_airport	SRID=4326;POINT(117.346000671 39.1244010925)	Asia	China	CN	Tianjin Municipality	CN-12	Tianjin		https://en.wikipedia.org/wiki/Tianjin_Binhai_International_Airport
SYX	ZJSY	Sanya Phoenix International Airport	large_airport	SRID=4326;POINT(109.412003 18.3029)	Asia	China	CN	Hainan Province	CN-46	Sanya (Tianya)		https://en.wikipedia.org/wiki/Sanya_Phoenix_International_Airport
URC	ZWWW	Ürümqi Tianshan International Airport	large_airport	SRID=4326;POINT(87.474197 43.907101)	Asia	China	CN	Xinjiang Autonomous Region	CN-65	Ürümqi		https://en.wikipedia.org/wiki/%C3%9Cr%C3%BCmqi_Tianshan_International_Airport
TNA	ZSJN	Jinan Yaoqiang International Airport	large_airport	SRID=4326;POINT(117.216003 36.857201)	Asia	China	CN	Shandong Province	CN-37	Jinan (Licheng)		https://en.wikipedia.org/wiki/Jinan_Yaoqiang_International_Airport
CGO	ZHCC	Zhengzhou Xinzheng International Airport	large_airport	SRID=4326;POINT(113.849165 34.526497)	Asia	China	CN	Henan Province	CN-41	Zhengzhou		https://en.wikipedia.org/wiki/Zhengzhou_Xinzheng_International_Airport
NGB	ZSNB	Ningbo Lishe International Airport	large_airport	SRID=4326;POINT(121.4619979858 29.8267002106)	Asia	China	CN	Zhejiang Province	CN-33	Ningbo		https://en.wikipedia.org/wiki/Ningbo_Lishe_International_Airport
SHE	ZYTX	Shenyang Taoxian International Airport	large_airport	SRID=4326;POINT(123.483002 41.639801)	Asia	China	CN	Liaoning Province	CN-21	Hunnan, Shenyang		https://en.wikipedia.org/wiki/Shenyang_Taoxian_International_Airport
LHW	ZLLL	Lanzhou Zhongchuan International Airport	large_airport	SRID=4326;POINT(103.620003 36.515202)	Asia	China	CN	Gansu Province	CN-62	Lanzhou (Yongdeng)	http://lzzcairport.com/Home/Index	https://en.wikipedia.org/wiki/Lanzhou_Airport
FOC	ZSFZ	Fuzhou Changle International Airport	large_airport	SRID=4326;POINT(119.66318 25.934669)	Asia	China	CN	Fujian Province	CN-35	Fuzhou (Changle)		https://en.wikipedia.org/wiki/Fuzhou_Changle_International_Airport
TYN	ZBYN	Taiyuan Wusu International Airport	large_airport	SRID=4326;POINT(112.627998 37.746899)	Asia	China	CN	Shanxi Province	CN-14	Taiyuan		https://en.wikipedia.org/wiki/Taiyuan_Wusu_International_Airport
CGQ	ZYCC	Changchun Longjia International Airport	large_airport	SRID=4326;POINT(125.684998 43.996201)	Asia	China	CN	Jilin Province	CN-22	Changchun		https://en.wikipedia.org/wiki/Changchun_Longjia_International_Airport
HAK	ZJHK	Haikou Meilan International Airport	large_airport	SRID=4326;POINT(110.459 19.9349)	Asia	China	CN	Hainan Province	CN-46	Haikou (Meilan)		https://en.wikipedia.org/wiki/Haikou_Meilan_International_Airport
CSX	ZGHA	Changsha Huanghua International Airport	large_airport	SRID=4326;POINT(113.220001 28.189199)	Asia	China	CN	Hunan Province	CN-43	Changsha (Changsha)		https://en.wikipedia.org/wiki/Changsha_Huanghua_International_Airport
TAO	ZSQD	Qingdao Jiaodong International Airport	large_airport	SRID=4326;POINT(120.088171 36.361953)	Asia	China	CN	Shandong Province	CN-37	Qingdao (Jiaozhou)		https://en.wikipedia.org/wiki/Qingdao_Jiaodong_International_Airport
WNZ	ZSWZ	Wenzhou Longwan International Airport	large_airport	SRID=4326;POINT(120.853465 27.910572)	Asia	China	CN	Zhejiang Province	CN-33	Wenzhou (Longwan)		https://en.wikipedia.org/wiki/Wenzhou_Longwan_International_Airport
HET	ZBHH	Hohhot Baita International Airport	large_airport	SRID=4326;POINT(111.824598 40.849658)	Asia	China	CN	Inner Mongolia Autonomous Region	CN-15	Hohhot	http://www.hhhtbtjc.com/	https://en.wikipedia.org/wiki/Hohhot_Baita_International_Airport
KHN	ZSCN	Nanchang Changbei International Airport	large_airport	SRID=4326;POINT(115.90271 28.864815)	Asia	China	CN	Jiangxi Province	CN-36	Nanchang		https://en.wikipedia.org/wiki/Nanchang_Changbei_International_Airport
KWE	ZUGY	Guiyang Longdongbao International Airport	large_airport	SRID=4326;POINT(106.803331 26.541466)	Asia	China	CN	Guizhou Province	CN-52	Guiyang (Nanming)		https://en.wikipedia.org/wiki/Guiyang_Longdongbao_Airport
YNT	ZSYT	Yantai Penglai International Airport	large_airport	SRID=4326;POINT(120.978124 37.659724)	Asia	China	CN	Shandong Province	CN-37	Yantai	http://www.ytairport.com.cn/	https://en.wikipedia.org/wiki/Yantai_Penglai_International_Airport
NNG	ZGNN	Nanning Wuxu Airport	large_airport	SRID=4326;POINT(108.175335 22.608544)	Asia	China	CN	Guangxi Autonomous Region	CN-45	Nanning (Jiangnan)	http://www.nnairport.com/	https://en.wikipedia.org/wiki/Nanning_Wuxu_International_Airport
TFU	ZUTF	Chengdu Tianfu International Airport	large_airport	SRID=4326;POINT(104.441284 30.31252)	Asia	China	CN	Sichuan Province	CN-51	Chengdu (Jianyang)		https://en.wikipedia.org/wiki/Chengdu_Tianfu_International_Airport
EHU	ZHEC	Ezhou Huahu Airport	large_airport	SRID=4326;POINT(115.03926 30.341178)	Asia	China	CN	Hubei Province	CN-42	Ezhou		https://en.wikipedia.org/wiki/Ezhou_Huahu_Airport
BOG	SKBO	El Dorado International Airport	large_airport	SRID=4326;POINT(-74.1469 4.70159)	South America	Colombia	CO	Bogotá Capital District	CO-DC	Bogota	https://eldorado.aero/	https://en.wikipedia.org/wiki/El_Dorado_International_Airport
SJO	MROC	Juan Santamaría International Airport	large_airport	SRID=4326;POINT(-84.208801 9.99386)	North America	Costa Rica	CR	Alajuela Province	CR-A	San José (Alajuela)	https://www.sjoairport.com/	https://en.wikipedia.org/wiki/Juan_Santamar%C3%ADa_International_Airport
LIR	MRLB	Guanacaste Airport	large_airport	SRID=4326;POINT(-85.544403 10.5933)	North America	Costa Rica	CR	Guanacaste Province	CR-G	Liberia		https://en.wikipedia.org/wiki/Daniel_Oduber_Quir%C3%B3s_International_Airport
ZAG	LDZA	Zagreb Franjo Tuđman International Airport	large_airport	SRID=4326;POINT(16.0688 45.742901)	Europe	Croatia	HR	Zagreb County	HR-01	Velika Gorica	https://www.zagreb-airport.hr/en	https://en.wikipedia.org/wiki/Zagreb_Airport
HAV	MUHA	José Martí International Airport	large_airport	SRID=4326;POINT(-82.4091033936 22.989200592)	North America	Cuba	CU	La Habana Province	CU-03	Havana		https://en.wikipedia.org/wiki/Jos%C3%A9_Mart%C3%AD_International_Airport
VRA	MUVR	Juan Gualberto Gomez International Airport	large_airport	SRID=4326;POINT(-81.435303 23.034401)	North America	Cuba	CU	Matanzas Province	CU-04	Matanzas		https://en.wikipedia.org/wiki/Juan_Gualberto_G%C3%B3mez_Airport
CUR	TNCC	Hato International Airport	large_airport	SRID=4326;POINT(-68.959801 12.1889)	North America	Curaçao	CW	(unassigned)	CW-U-A	Willemstad		https://en.wikipedia.org/wiki/Hato_International_Airport
LCA	LCLK	Larnaca International Airport	large_airport	SRID=4326;POINT(33.624901 34.875099)	Asia	Cyprus	CY	Larnaca District	CY-04	Larnaca	http://www.cyprusairports.com.cy/showpage.php?PageID=2	https://en.wikipedia.org/wiki/Larnaca_International_Airport
PRG	LKPR	Václav Havel Airport Prague	large_airport	SRID=4326;POINT(14.259911 50.100874)	Europe	Czech Republic	CZ	Praha (Prague) (capital city)	CZ-PR	Prague	http://www.prg.aero	https://en.wikipedia.org/wiki/Václav_Havel_Airport_Prague
FIH	FZAA	Ndjili International Airport	large_airport	SRID=4326;POINT(15.4446 -4.38575)	Africa	Democratic Republic of the Congo	CD	Kinshasa Province	CD-KN	Kinshasa		https://en.wikipedia.org/wiki/N%27djili_Airport
CPH	EKCH	Copenhagen Kastrup Airport	large_airport	SRID=4326;POINT(12.6560001373 55.6179008484)	Europe	Denmark	DK	Capital Region	DK-84	Copenhagen	http://www.cph.dk/en/	https://en.wikipedia.org/wiki/Copenhagen_Airport
BLL	EKBI	Billund Airport	large_airport	SRID=4326;POINT(9.157019 55.740335)	Europe	Denmark	DK	South Denmark	DK-83	Billund	http://www.billund-airport.dk/?sc_lang=en	https://en.wikipedia.org/wiki/Billund_Airport
JIB	HDAM	Djibouti-Ambouli Airport	large_airport	SRID=4326;POINT(43.1595 11.5473)	Africa	Djibouti	DJ	Djibouti Region	DJ-DJ	Djibouti City		https://en.wikipedia.org/wiki/Djibouti-Ambouli_International_Airport
PUJ	MDPC	Punta Cana International Airport	large_airport	SRID=4326;POINT(-68.363403 18.5674)	North America	Dominican Republic	DO	La Altagracia Province	DO-11	Punta Cana	https://www.puntacanainternationalairport.com/	https://en.wikipedia.org/wiki/Punta_Cana_International_Airport
